Timestamp,Gx,Gy,Gz,Servo_Angle,Speed
2026-05-26 21:36:29.961,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.976,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:29.992,0.366,0.244,0.915,120.0,-11.384
2026-05-26 21:36:30.068,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:30.087,0.366,0.244,0.915,120.0,-12.017
2026-05-26 21:36:30.102,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:30.194,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:30.211,0.366,0.244,0.915,120.0,-11.806
2026-05-26 21:36:30.227,0.366,0.244,0.915,120.0,-12.228
2026-05-26 21:36:30.280,0.366,0.244,0.915,120.0,-12.86
2026-05-26 21:36:30.305,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:30.380,0.366,0.244,0.915,120.0,-14.125
2026-05-26 21:36:30.399,0.366,0.244,0.915,120.0,-14.547
2026-05-26 21:36:30.415,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:30.510,0.366,0.244,0.915,120.0,-13.704
2026-05-26 21:36:30.526,0.366,0.244,0.915,120.0,-13.704
